,tweet,verified,created_at,location,favourites,retweets
55,#popcat เปลี่ยนแมวเปนหน้าบางคนที่กินภาษีไม่หยุด ก็น่าจะดังได้อยุ,False,2021-08-15 13:55:49,"Bangkok, Thailand",0,0
56,"ใครมีทรส.หรือไอแพด ที่ยังไม่เคยโหลดติ๊กต่อกบ้างคะ เค้าให้ 150 ต่อเครื่องเลย
💐 ดูรีวิวได้โอนเร็วมากงับ เดมมาเลย… https://t.co/5M5LKIukFa",False,2021-08-15 13:55:50,ขออนุญาตใช้แท็กนะคะ 🥲,1,0
57,เมิงงงงง คนไทยคือว่างจริง ฉันงงมาก 555555555555 #popcat https://t.co/GCO61MhH25,False,2021-08-15 13:55:51,,7,4
58,เวลา20:55​ อนุสาวรีย์ชัยสมรภูมิ เกิดเหตุมวลชนป่วน จุดไฟเผากลางถนน ท้าทายเจ้าหน้าที่ตำรวจที่ตั้งแนวรับ ทำให้ตำรวจต้อ… https://t.co/jMdwJVwpk0,False,2021-08-15 13:55:52,,1,7
59,กุผู้กดป้อปแคทจนปวดแขนขวา555555555 #popcat #popcatthailand,False,2021-08-15 13:55:53,,2,1
60,"แมวเขาน่ารักแมวกุกัดดีจริง😂 
#popcat https://t.co/T4hky3JMjT",False,2021-08-15 13:56:02,태국,2,1
61,ม็อบครั้งหน้า รบ.ไทยปล่อยเกม #ม็อบ15สิงหา #popcat,False,2021-08-15 13:56:06,,2,0
62,#KisanMajdoorEktaZindabaad #popcat #indiaIndependenceday ⚠️ https://t.co/Wg26tR3IbQ,False,2021-08-15 13:56:08,𝚙𝚞𝚗𝚓𝚊𝚋♥︎,2,0
63,กะดึกเตรียมตัวนะเตง กะเช้าขอตัวไปรักษาข้อนิ้วก่อน  #popcat,False,2021-08-15 13:56:08,,3,2
64,กด #popcat ยาวไปๆฟ,False,2021-08-15 13:56:11,กวังยา,0,0
65,#더보이즈_하프밀리언셀러_축하해 #TOKYOMER JUNGWON DAY #popcat #ShopeexBonzWar #PAINTMENAKED_INKIGAYO PROUD OF YOU TEN… https://t.co/ALuFyb2wg9,False,2021-08-15 13:56:13,Nowheresville,2,1
66,"#ม็อบ15สิงหา #popcat 
ช่วยน้องกับคุณเเม่หน่อยนะคะ ใครเห็นช่วยรีหน่อยค่า ⚠️📍📍 https://t.co/vgXIaD3erw",False,2021-08-15 13:56:17,,0,4
67,ไม่ได้โกงปะ5555 ชั้นไปเอาวิธีมาจากtiktokช่องของคนไต้หวัน และมาเลเซีย เขาทำการสอนกัน กว่าฉันจะทำได้ แต่ไทยเราคึกไปห… https://t.co/akKses5icS,False,2021-08-15 13:56:19,,0,3
